종목코드,기업,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
138080,오이솔루션,실패: 기업실적분석 표 없음,1,코스닥,0.62,AI·전력인프라,광통신,오이솔루션,,보류,컨센서스 없음,,2026-09-11
452280,한선엔지니어링,실패: 기업실적분석 표 없음,1,코스닥,0.59,반도체,소재·부품,한선엔지니어링,,보류,컨센서스 없음,,2026-09-11
327260,RF머트리얼즈,실패: 기업실적분석 표 없음,1,코스닥,0.58,AI·전력인프라,RF·통신부품,RF머트리얼즈,,보류,컨센서스 없음,,2026-09-11
010170,대한광통신,실패: 기업실적분석 표 없음,1,코스닥,0.57,AI·전력인프라,광통신,대한광통신,,보류,컨센서스 없음,,2026-09-11
099320,쎄트렉아이,실패: 기업실적분석 표 없음,1,코스닥,0.56,조선·방산·우주,우주·위성,쎄트렉아이,,보류,컨센서스 없음,,2026-09-11
347700,스피어,실패: 기업실적분석 표 없음,1,코스닥,0.53,AI·전력인프라,데이터센터 부품,스피어,,보류,컨센서스 없음,,2026-09-11
080580,오킨스전자,실패: 기업실적분석 표 없음,1,코스닥,0.52,반도체,테스트·후공정,오킨스전자,,보류,컨센서스 없음,,2026-09-11
189300,인텔리안테크,실패: 기업실적분석 표 없음,1,코스닥,0.5,조선·방산·우주,우주·위성,인텔리안테크,,보류,컨센서스 없음,,2026-09-11
448900,한국피아이엠,실패: 기업실적분석 표 없음,1,코스닥,0.44,반도체,소재·부품,한국피아이엠,,보류,컨센서스 없음,,2026-09-11
139130,iM금융지주,실패: 기업실적분석 표 없음,1,Korea플러스배당,0.42,금융,은행,iM금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
460860,동국제강,실패: 기업실적분석 표 없음,1,코리아밸류업,0.17,미분류,-,동국제강,,보류,컨센서스 없음,,2026-09-11
011780,금호석유화학,실패: 기업실적분석 표 없음,1,코리아밸류업,0.15,미분류,-,금호석유화학,,보류,컨센서스 없음,,2026-09-11
